player,pass_grade,run_grade,pass_win,run_stop,prp,adp,rank,team
Abdul Carter,92.4,78.2,22.6,7.6,11.8,3,2,Penn State
James Pearce Jr,89.4,84.1,23,10.1,13.4,13,15,Tennessee
Mike Green,91.4,90.9,20.2,9.4,11.5,14,12,Marshall
Mykel Williams,70.7,82.9,11.1,7.6,6.9,19,26,Georgia
Shemar Stewart,67.2,88.2,12.4,5.5,7,23,27,Texas A&M
Nic Scourton,80.6,74.4,17.1,7.3,6.8,29,31,Texas A&M
Donovan Ezeiruaku,90.5,83.6,18.1,10.1,9.2,37,16,Boston College
Landon Jackson,72.2,88.7,11.1,9.3,6.3,45,41,Arkansas
Princely Umanmielen,91.5,78.7,22.8,8.6,12.4,44,44,Ole Miss
Jack Sawyer,89.4,82.5,17.7,5.1,10.4,40,56,Ohio State
Bradyn Swinson,90.3,69.6,22.1,5.8,11.6,144,47,LSU
JT Tuimoloau,77.7,87.3,12.1,7.8,9.7,49,51,Ohio State
Jared Ivey,90.8,82.7,16.8,6.6,7.6,59,59,Ole Miss
Kyle Kennard,80.7,72.3,13.1,3.8,8.4,61,65,South Carolina
Josaiah Stewart,92.3,83.7,27.3,8.3,11.4,71,68,Michigan
Jordan Burch,81.3,68.1,15.7,2.9,8.9,66,73,Oregon
Elijah Roberts,90.7,81.3,22.4,8.5,9.7,81,82,SMU
Kaimon Rucker,81.6,60.7,18.4,8.5,11.7,96,107,UNC
Quandarrius Robinson,90.3,76.1,24,8.1,11,98,119,Alabama
Ashton Gillotte,89.9,78,20.9,6.9,9,103,113,Louisville
David Walker,94,92.6,21,9.5,10.2,107,100,Central Arkansas
Barryn Sorrell,74.6,73.1,13.3,5.1,8.4,114,122,Texas
Sai'vion Jones,76.7,69.1,15,7.7,7.2,120,141,LSU
Ahmed Hassanein,76.9,80.3,16.1,6.3,8.7,125,133,Boise State
Antwuan Powell-Ryland,85.1,63.2,16.8,5.5,10,128,136,Virginia Tech
Oluwafemi Oladejo,65.3,78.6,10.5,9.3,6.4,131,111,UCLA
Tyler Batty,75,74.4,13.5,7,6.9,138,145,BYU
Tyler Baron,84.2,76.7,18.6,9,12.3,144,153,Miami
RJ Oben,77.1,73.9,13,5.6,3,154,162,Notre Dame
Jah Joyner,75.4,75.4,13.2,5.2,6.2,162,173,Minnesota
Fadil Diggs,83.2,65.7,15,4.2,9.6,212,235,Syracuse
Ethan Downs,73.3,75.3,13.7,3.7,6.4,236,253,Oklahoma
Johnny Walker Jr,77.9,75.6,15.4,5.6,11,236,259,Missouri
Elijah Alston,73.8,75.9,12,7.8,7.9,241,266,Miami
Collin Oliver,90.8,67.7,31.8,3.3,18.2,240,298,Oklahoma State
Brian Ugwu,80.7,66.1,13.9,7.2,8.2,215,313,Miami OH
Nate Matlack,79.3,62.1,12.1,3.8,6.2,169,317,Pittsburgh
Elijah Ponder,70.4,74.8,10,6.2,8,183,321,Cal Poly
