player,rb_grade,pb_grade,zone_grade,gap_grade,pbe,adp,rank,team
Tyler Booker,63.9,86.5,65.5,63,98.1,41,48,Alabama
Tate Ratledge,74.7,77.3,71.4,70.9,97.1,94,91,Georgia
Jared Wilson,76,84.9,78.9,65.2,99.7,100,83,Georgia
Willie Lampkin,87.6,88.8,90.4,75.9,98.2,123,130,UNC
Luke Kandra,74.3,84.1,76.5,64.2,98,142,151,Cincinnati
Seth McLaughlin,67.9,74.1,66.4,65.5,98.4,157,167,Ohio State
Connor Colby,77.3,66.9,81.3,61.7,95.5,161,170,Iowa
Tyler Cooper,77.4,66.3,76.5,74.5,96.6,166,172,Minnesota
Jonah Monheim,71.4,69.3,69.4,70.8,97.9,174,184,USC
Jake Majors,68.2,85.4,63.8,65.5,98.7,194,211,Texas
Miles Frazier,64.1,88,60.2,66.1,98.1,198,216,LSU
Jackson Slater,72.9,88.2,67.7,70.3,99.5,204,217,Sacremento State
Timothy McKay,69.8,73.1,74.7,64.5,95.4,229,242,NC State
Dylan Fairchild,71.8,87,76.6,59,97.7,228,196,Georgia
Clay Webb,82.7,72.7,84.9,68.7,96.1,237,251,Jacksonville State
Joshua Gray,74.6,63.1,71.5,73.5,96.7,243,248,Oregon State
Marcus Wehr,88.8,82.3,89.9,66.4,100,244,268,Montana State
Drew Kendall,75.9,81.5,71.8,73.9,98.3,237,289,Boston College
Cooper Mays,67.1,75.7,60.3,74.8,97.5,212,301,Tennessee
Luke Newman,69.9,76.9,61,80.2,98,210,311,Michigan State
Nash Jones,71.1,72.1,68.1,68.6,97.6,163,314,Texas State
Jack Conley,58.6,57.7,65.5,56.1,95.2,174,322,Boston College
Joe Huber,66.4,76.2,72.2,55.3,97.6,161,329,Wisconsin
Gus Hartwig,66.1,82.1,69.4,61.7,97.5,115,331,Purdue
