player,pass_grade,run_grade,cov_grade,missp,passer_rating,adp,rank,team
Jihaad Campbell,76.3,81,80.1,5.9,87.5,16,10,Alabama
Jalon Walker,83.6,62.3,67.5,12.1,125.3,23,30,Gerogia
Demetrius Knight Jr.,78.5,85.4,74.9,11,65.1,47,33,South Carolina
Carson Schwesinger,90,74.7,74.1,7.6,100,57,54,UCLA
Chris Paul Jr.,84,84.6,78.1,4.5,93.2,79,75,Ole Miss
Jeffrey Bassa,67.5,72.1,70.2,9.6,110.1,95,104,Oregon
Barrett Carter,69.7,81.9,47.7,11,131.6,123,125,Clemson
Jack Kiser,77.8,86.8,62.9,4.6,101.9,129,130,Notre Dame
Kobe King,66.7,89.2,65.4,11.8,126.3,159,161,Penn State
Cody Simon,80.6,90.8,72.7,11.5,106.2,170,172,Ohio State
Cody Lindenberg,65.6,79.3,61,13.1,85.8,177,175,Minnesota
Danny Stutsman,68.4,90.9,46.3,12.2,114.7,172,177,Oklahoma
Jay Higgins,71.1,76,91.5,9.7,57.2,202,209,Iowa
Teddye Buchanan,74.3,71.8,76.2,9.2,79,234,217,California
Jamon Dumas-Johnson,67.9,66.2,54.7,14.5,96.6,222,222,Kentucky
Karene Reid,68.5,81.2,53.9,8.1,91.3,238,238,Utah
Smael Mondon Jr.,73.7,76,64.7,5.2,83.8,238,244,Gerogia
Jailin Walker,88.4,84.5,71.2,13.8,75.7,241,245,Indiana
Kain Medrano,71.2,67.3,76.3,26,111,247,249,UCLA
Gaethan Bernadel,52.2,76.5,72.6,7.5,103.7,248,255,Stanford
Greg Penn III,63,65.7,68.7,7.5,101.6,250,261,LSU
Aaron Smith,64.7,86.5,73.2,6.5,102.3,248,264,SC State
Nickolas Martin,84.4,63.2,61.2,15.5,72.9,234,273,Oklahoma State
Shemar James,65.1,68.4,46.5,17.3,106.8,233,277,Florida
David Gbenda,55.3,84.5,75.5,12.7,45.8,232,285,Texas
Eugene Asante,84.2,64.3,50.1,15.5,107.4,199,293,Auburn
