player,pass_grade,pass_rtg,towp,btt,adp,rank,team
Cam Ward,91.7,119.9,3.3,6.3,2,21,Miami
Shedeur Sanders,90.5,116,1.3,5,8,46,Colorado
Jalen Milroe,78.3,93.6,2.5,5.2,90,99,Alabama
Will Howard,85.7,119.9,3.1,5,101,112,Ohio State
Riley Leonard,73.9,95.8,2,4.1,127,121,Notre Dame
Jaxson Dart,91.9,122.3,2.2,7.1,104,129,Ole Miss
Dillon Gabriel,86.3,114.6,1.6,3.2,89,131,Oregon
Quinn Ewers,71.8,101.5,4,4.3,149,142,Texas
Kyle McCord,87.5,101,3.5,5.7,169,161,Syracuse
Tyler Shough,87.7,101.1,1.8,5.1,219,182,Louisville
Kurtis Rourke,90.2,122.5,2.6,5.6,202,187,Indiana
Brady Cook,75.1,95.7,1,3.8,211,194,Missouri
Max Brosmer,84.2,94.5,1.7,3.1,216,197,Minnesota
Graham Mertz,75.4,113.4,4.3,4,238,230,Florida
Seth Henigan,79.3,98.9,2,5.9,229,261,Memphis
Will Rogers,67.2,98.4,4,4,150,319,Washington
Donovan Smith,53,67.4,4,1.4,150,323,Houston
KJ Jefferson,64.9,96.7,5.1,4.4,150,327,UCF
DJ Uiagalelei,72.5,66.5,2.7,3.7,200,328,Florida State
