player,rush_grade,yac/att,yprr,pb_grade,fumbles,adp,rank,team
Ashton Jeanty,96.6,5.25,0.54,49,4,11,5,Boise State
Omarion Hampton,90.5,4.35,1.4,54.8,1,27,24,UNC
Cam Skattebo,94.6,4.09,1.95,38,4,53,50,Arizona State
Quinshon Judkins,90,3.04,1.13,29.9,1,64,53,Ohio State
Dylan Sampson,90.9,3.6,0.85,64.4,4,66,63,Tennessee
Kaleb Johnson,86.7,4.42,1.29,37.4,0,62,64,Iowa
TreVeyon Henderson,91.8,4.43,1.18,48.9,0,67,70,Ohio State
RJ Harvey,89.5,3.88,1.39,21.8,2,95,85,UCF
DJ Giddens,85,4.16,1.11,43.9,2,108,88,Kansas State
Devin Neal,90.5,3.73,1.3,44.8,1,89,96,Kansas
Jaydon Blue,76.7,3.83,1.59,39.8,5,147,126,Texas
Damien Martinez,94.3,4.51,0.98,57.4,1,131,101,Miami
Brashard Smith,87,3.34,1.69,70.3,3,138,139,SMU
Jacory Croskey-Merritt,87,3.92,0,77,0,145,144,Arizona
Jarquez Hunter,86.6,4.1,0.73,51.2,3,147,148,Auburn
Kalel Mullings,88,3.55,0.39,50,0,147,150,Michigan
Trevor Etienne,86.7,3.43,1.03,61.2,2,153,158,Georgia
Kyle Monangai,78.2,3.37,0.44,51.2,0,170,175,Rutgers
Marcus Yarns,84.5,4.22,2.12,61.2,0,175,180,Delaware
Bhayshul Tuten,80.7,4.4,0.43,47.2,4,171,132,Virginia Tech
Jordan James,90.9,3.18,0.9,43.9,0,185,200,Oregon
Tahj Brooks,85.3,3.04,0.71,65.6,2,189,203,Texas Tech
Ollie Gordon II,76.9,3.25,0.77,57.9,2,189,207,Oklahoma State
LeQuint Allen,80,3,1.31,80.9,1,204,209,Syracuse
Ja'Quinden Jackson,85.5,3.5,0.84,37.3,2,221,238,Arkansas
Woody Marks,85.9,3.04,1.1,50.3,1,223,239,USC
Montrell Johnson Jr.,76.3,3.24,0.58,52.7,1,238,247,Florida
Raheim Sanders,86.1,3.69,1.51,34.8,3,242,264,South Carolina
Donovan Edwards,73.2,2.86,0.57,32.4,3,218,299,Michigan
