player,man_grade,zone_grade,run_grade,missp,passer_rating,adp,team,rank
Malaki Starks,74,63.1,85.6,8.1,99.6,18,Georgia,9
Xavier Watts,89.3,68.6,79.5,12.6,30.1,44,Notre Dame,39
Nick Emmanwori,76.2,82.1,73.3,7.2,37.1,33,South Carolina,45
Sebastion Castro,54.5,66.4,76.2,17.1,107,83,Iowa,102
Kevin Winston Jr.,41.7,64.5,90.7,14.3,109.7,84,Penn State,84
Lathan Ransom,62,62.4,93.5,15.2,95.4,95,Ohio State,94
Andrew Mukuba,85.1,88.3,75.8,14.4,12.1,103,Texas,95
Jonas Sanker,76.4,68,66.1,13,87.6,115,Virginia,114
Billy Bowman Jr.,61.6,78,69.4,23.1,79.6,144,Oklahoma,149
Upton Stout,71.6,56.3,90.9,7.9,96,162,Western Kentucky,165
Caleb Ransaw,45.8,70.6,67.3,7.5,94.1,187,Tulane,190
Akili Arnold,70.7,50.7,57.9,18.6,122.8,204,USC,206
Dean Clark,62.7,76.3,75.8,12.7,81.3,212,Fresno State,215
Alijah Clark,61.9,68.8,52,17.3,92.3,218,Syracuse,218
Kitan Crawford,78.3,82.8,66.3,16.2,47.4,222,Nevada,224
RJ Mickens,77.6,88.6,69.2,13.1,59.6,222,Clemson,227
Craig Woodson,80.9,82.2,85.6,8.6,74.8,229,California,232
Malachi Moore,85.8,80.5,75.5,6.8,51,226,Alabama,234
Hunter Wohler,79.2,59.7,74.8,11.2,117.7,234,Wisconsin,237
Dante Trader Jr.,57.8,62.4,83,4.8,98.8,249,Maryland,257
Jordan Hancock,74.1,66.7,71.8,9.1,71.2,247,Ohio State,258
Dan Jackson,66.5,61.2,47.2,19.5,56.3,242,Dan Jackson,263
Aubrey Burks,65.6,60.2,68.5,21.1,158.3,239,West Virginia,269
Shilo Sanders,78.9,59.9,67.5,13.4,155.8,228,Colorado,283
Marques Sigle,69.4,60.6,85.2,16.5,88.8,231,Kansas State,285
De'Rickey Wright,59.3,72.4,79.3,9.8,110.4,217,Vanderbilt,287
