player,rec_grade,yprr,drop,ctc,adp,team,rank
Travis Hunter,89,2.51,3,64.7,2,Colorado,1
Tetairoa McMillan,85.8,2.87,7.7,60,8,Arizona,3
Emeka Egbuka,82.4,2.51,5.8,59.1,22,Ohio State,19
Luther Burden III,80.2,2.32,4.7,54.5,23,Missouri,14
Matthew Golden,75.6,2.1,6.5,61.1,24,Texas,22
Jack Bech,83.1,2.44,1.6,65,44,TCU,38
Elic Ayomanor,74.3,1.9,8.7,48.3,45,Stanford,35
Jayden Higgins,90.5,2.66,2.2,58.3,46,Iowa State,49
Xavier Restrepo,83.5,2.47,2.8,61.5,58,Miami,54
Jaylin Noel,81.7,2.62,4.8,52,72,Iowa State,86
Tre Harris,89.4,5.12,7.7,61.5,78,Ole Miss,81
Jalen Royals,80.6,3,5.2,53.3,83,Utah State,89
Savion Williams,70.2,2.1,11.8,88.9,87,TCU,93
Tez Johnson,87,2.6,3.5,33.3,92,Oregon,104
Isaiah Bond,70.3,1.78,5.6,27.3,97,Texas,109
Tory Horton,81.4,3.45,3.8,50,123,Colorado State,135
Julian Fleming,52.1,0.76,17.6,66.7,142,Penn State,302
Pat Bryant,86,2.83,1.8,69.2,144,Illinois,152
Moose Muhammad III,55.5,0.66,14.3,100,149,Texas A&M,310
Kobe Hudson,74.4,2.7,11.3,48.1,151,UCF,155
Kyle Williams,82.1,2.71,6.7,62.5,151,Washington State,160
Isaac TeSlaa,70.5,1.98,0,71.4,158,Arkansas,166
Nick Nash,86.9,2.71,5.5,50,158,San Jose State,168
Beaux Collins,58.5,1.38,14.6,60,171,Notre Dame,304
Konata Mumpfield,70.7,1.87,7.1,60,178,Pittsburgh,312
Jaylin Lane,69.3,1.71,7.3,16.7,181,Virginia Tech,189
Dont'e Thornton Jr.,80.6,3.72,7.1,75,185,Tennessee,202
Antwane Wells Jr.,60.2,1.49,15.2,25,190,Ole Miss,198
Joey Hobert,78.7,1.85,1.4,70,192,Texas State,297
KeAndre Lambert-Smith,80.4,2.7,5.7,50,198,Auburn,205
Chimere Dike,71.3,2.3,8.7,58.3,203,Florida,214
Kaden Prather,62.2,1.25,1.8,35.3,204,Maryland,205
Arian Smith,57.1,1.95,17.2,22.2,205,Georgia,316
Tai Felton,80.2,2.32,7.7,38.9,205,Maryland,192
Ricky White III,82,2.93,8.2,39.1,208,UNLV,220
Efton Chism III,92.6,3.45,2.4,58.3,215,Eastern Washinton,228
Jimmy Horn Jr.,65.1,1.64,5.1,33.3,218,Colorado,233
Da'Quan Felton,56.4,1.39,13.5,53.3,226,Virginia Tech,292
Ja'Corey Brooks,79.7,2.57,10.3,69.6,229,Louisville,307
Samuel Brown Jr.,62.5,1.78,10,18.2,231,Miami,236
Will Sheppard,60.7,1.22,4,50,234,Colorado,241
Bru McCoy,64.4,1.58,4.9,37.5,236,Tennessee,279
LaJohntay Wester,75.6,1.79,3.9,66.7,236,Colorado,243
Elijhah Badger,81.5,2.96,0,68.8,238,Florida,290
Kyren Lacy,72.7,1.95,9.4,27.3,239,LSU,255
Theo Wease Jr.,79.9,2.65,3.2,36.4,242,Missouri,252
Jackson Meeks,81,2.28,6.1,60,243,Syracuse,277
Roc Taylor,74.1,2.3,5.6,60,244,Memphis,276
Zakhari Franklin,77.4,1.98,9.8,43.5,245,Illinois,267
