"player","total","rank","pos","team","pos_rank_bef","pos_rank_aft","pos_rank_diff"
"Darrien Porter",40.65,59,"CB","Iowa State",7,1,6
"Shavon Revel",40.25,44,"CB","ECU",6,2,4
"Jahdae Barron",36.38,7,"CB","Texas",2,3,-1
"Zy Alexander",35.86,135,"CB","LSU",15,4,11
"Nohl Williams",35.54,123,"CB","California",14,5,9
"Trey Amos",35.2,40,"CB","Ole Miss",4,6,-2
"Dorian Strong",33.64,102,"CB","Virginia Tech",10,7,3
"Odonnell Fortune",33.4,168,"CB","South Carolina",18,8,10
"Travis Hunter",32.66,1,"CB","Colorado",1,9,-8
"Jabbar Muhammad",32.66,280,"CB","Oregon",28,10,18
"Mac McWilliams",30,271,"CB","UCF",25,11,14
"Jacob Parrish",29.21,108,"CB","Kansas State",11,12,-1
"BJ Adams",29.08,308,"CB","UCF",29,13,16
"Cobee Bryant",28.6,115,"CB","Kansas",12,14,-2
"Jaylin Smith",25.42,206,"CB","USC",21,15,6
"Mello Dotson",24.6,118,"CB","Kansas",13,16,-3
"Azareyeh Thomas",23.87,63,"CB","Florida State",8,17,-9
"Jason Marshall",23.65,224,"CB","Florida",22,18,4
"Alijah Huzzie",23.28,155,"CB","UNC",16,19,-3
"Fentrell Cyprus",23.26,249,"CB","Florida State",23,20,3
"Benjamin Morrison",20.99,67,"CB","Notre Dame",9,21,-12
"Denzel Burke",19.79,177,"CB","Ohio State",19,22,-3
"Robert Longerbeam",18.23,180,"CB","Rutgers",20,23,-3
"Will Johnson",16.55,14,"CB","Michigan",3,24,-21
"Quincy Riley",16.41,158,"CB","Louisville",17,25,-8
"Cam Miller",16.12,272,"CB","Penn State",26,26,0
"Maxwell Hairston",15.36,42,"CB","Kentucky",5,27,-22
"Shamari Simmons",13.18,273,"CB","Arizona State",27,28,-1
"Tommi Hill",7.6,270,"CB","Nebraska",24,29,-5
