"player","total","pos","team","rank_bef","rank_aft","rank_diff","pos_rank_bef","pos_rank_aft","pos_rank_diff"
"Wyatt Milum",49.52,"OT","West Virginia",90,1,89,12,1,11
"James Pearce Jr",49.25,"ED","Tennessee",15,2,13,3,1,2
"Mike Green",49.18,"ED","Marshall",12,3,9,2,2,0
"Armand Membou",49.02,"OT","Missouri",11,4,7,2,2,0
"Willie Lampkin",48.68,"IOL","UNC",130,5,125,4,1,3
"Grey Zabel",48.43,"OT","North Dakota State",29,6,23,5,3,2
"Mason Graham",47.75,"DL","Michigan",4,7,-3,1,1,0
"David Walker",47.01,"ED","Central Arkansas",100,8,92,18,3,15
"Josaiah Stewart",46.97,"ED","Michigan",68,9,59,15,4,11
"Jaxson Dart",46.5,"QB","Ole Miss",129,10,119,6,1,5
"Travis Hunter",46.31,"WR","Colorado",1,11,-10,1,1,0
"Harold Fannin",46.29,"TE","Bowling Green",100,12,88,6,1,5
"Princely Umanmielen",46.05,"ED","Ole Miss",44,13,31,9,5,4
"Omarion Hampton",45.6,"RB","UNC",24,14,10,2,1,1
"Jayden Higgins",45.51,"WR","Iowa State",49,15,34,8,2,6
"Marcus Yarns",45.22,"RB","Delaware",180,16,164,20,2,18
"Marcus Wehr",44.35,"IOL","Montana State",268,17,251,17,2,15
"Efton Chism III",44.31,"WR","Eastern Washinton",228,18,210,30,3,27
"Chris Paul Jr.",44.13,"LB","Ole Miss",75,19,56,5,1,4
"Malachi Moore",44.13,"S","Alabama",234,20,214,18,1,17
"Walter Nolen",44.12,"DL","Ole Miss",25,21,4,5,2,3
"Pat Bryant",43.95,"WR","Illinois",152,22,130,17,4,13
"Darius Alexander",43.91,"DL","Toledo",23,23,0,4,3,1
"TreVeyon Henderson",43.77,"RB","Ohio State",70,24,46,7,3,4
"TJ Sanders",43.72,"DL","South Carolina",36,25,11,6,4,2
"Kelvin Banks Jr",43.5,"OT","Texas",20,26,-6,4,4,0
"Abdul Carter",43.49,"ED","Penn State",2,27,-25,1,6,-5
"Craig Woodson",43.37,"S","California",232,28,204,17,2,15
"Elijah Roberts",43.33,"ED","SMU",82,29,53,17,7,10
"Charles Grant",43.31,"OT","William & Mary",97,30,67,14,5,9
"Kurtis Rourke",43.16,"QB","Indiana",187,31,156,11,2,9
"Xavier Restrepo",43.13,"WR","Miami",54,32,22,9,5,4
"Damien Martinez",43.07,"RB","Miami",101,33,68,11,4,7
"Tyler Warren",43.07,"TE","Penn State",8,34,-26,1,2,-1
"Donovan Ezeiruaku",42.74,"ED","Boston College",16,35,-19,4,8,-4
"Elijhah Badger",42.47,"WR","Florida",290,36,254,41,6,35
"Chase Lundt",42.37,"OT","UCONN",138,37,101,18,6,12
"Logan Brown",42.28,"OT","Kansas",176,38,138,20,7,13
"Quandarrius Robinson",42.1,"ED","Alabama",119,39,80,22,9,13
"Jack Bech",42.04,"WR","TCU",38,40,-2,7,7,0
"Derrick Harmon",42.01,"DL","Oregon",22,41,-19,3,5,-2
"Tyler Baron",41.55,"ED","Miami",153,42,111,28,10,18
"Hollin Pierce",41.06,"OT","Rutgers",231,43,188,25,8,17
"Cam Ward",40.97,"QB","Miami",21,44,-23,1,3,-2
"Demetrius Knight Jr.",40.7,"LB","South Carolina",33,45,-12,3,2,1
"Darrien Porter",40.65,"CB","Iowa State",59,46,13,7,1,6
"CJ West",40.62,"DL","Indiana",110,47,63,14,6,8
"Nick Emmanwori",40.56,"S","South Carolina",45,48,-3,3,3,0
"Devin Neal",40.48,"RB","Kansas",96,49,47,10,5,5
"Shedeur Sanders",40.32,"QB","Colorado",46,50,-4,2,4,-2
"Andrew Mukuba",40.32,"S","Texas",95,51,44,6,4,2
"Jihaad Campbell",40.27,"LB","Alabama",10,52,-42,1,3,-2
"Shavon Revel",40.25,"CB","ECU",44,53,-9,6,2,4
"Oronde Gadsden",40.16,"TE","Syracuse",227,54,173,17,3,14
"Cam Skattebo",40.14,"RB","Arizona State",50,55,-5,3,6,-3
"Kyle Williams",40.12,"WR","Washington State",160,56,104,19,8,11
"Aeneas Peebles",40.01,"DL","Virginia Tech",113,57,56,15,7,8
"Tetairoa McMillan",39.91,"WR","Arizona",3,58,-55,2,9,-7
"Trey Wedig",39.74,"OT","Indiana",281,59,222,27,9,18
"Nick Nash",39.56,"WR","San Jose State",168,60,108,21,10,11
"Simeon Barrow Jr",39.47,"DL","Miami",156,61,95,19,8,11
"RJ Harvey",38.88,"RB","UCF",85,62,23,8,7,1
"Jailin Walker",38.35,"LB","Indiana",245,63,182,18,4,14
"Kaleb Johnson",38.1,"RB","Iowa",64,64,0,6,8,-2
"Ty Robinson",38,"DL","Nebraska",243,65,178,26,9,17
"Tre Harris",37.99,"WR","Ole Miss",81,66,15,10,11,-1
"Xavier Watts",37.62,"S","Notre Dame",39,67,-28,2,5,-3
"Jared Wilson",37.5,"IOL","Georgia",83,68,15,2,3,-1
"Ashton Gillotte",37.26,"ED","Louisville",113,69,44,21,11,10
"Jackson Meeks",37.04,"WR","Syracuse",277,70,207,39,12,27
"Jaylin Noel",36.93,"WR","Iowa State",86,71,15,11,13,-2
"Jared Harrison-Hunte",36.7,"DL","SMU",325,72,253,35,10,25
"Will Howard",36.48,"QB","Ohio State",112,73,39,4,5,-1
"Jalen Royals",36.48,"WR","Utah State",89,74,15,12,14,-2
"Jahdae Barron",36.38,"CB","Texas",7,75,-68,2,3,-1
"Tyler Shough",36.33,"QB","Louisville",182,76,106,10,6,4
"RJ Mickens",36.14,"S","Clemson",227,77,150,16,6,10
"Omarr Norman-Lott",36.04,"DL","Tennessee",62,78,-16,10,11,-1
"Jay Higgins",36.02,"LB","Iowa",209,79,130,13,5,8
"Zy Alexander",35.86,"CB","LSU",135,80,55,15,4,11
"Ashton Jeanty",35.8,"RB","Boise State",5,81,-76,1,9,-8
"Jack Sawyer",35.7,"ED","Ohio State",56,82,-26,12,12,0
"Jacory Croskey-Merritt",35.6,"RB","Arizona",144,83,61,15,10,5
"Nohl Williams",35.54,"CB","California",123,84,39,14,5,9
"Drew Kendall",35.4,"IOL","Boston College",289,85,204,18,4,14
"Bradyn Swinson",35.25,"ED","LSU",47,86,-39,10,13,-3
"Trey Amos",35.2,"CB","Ole Miss",40,87,-47,4,6,-2
"LaJohntay Wester",35.18,"WR","Colorado",243,88,155,34,15,19
"Caden Prieskorn",35.05,"TE","Ole Miss",191,89,102,13,4,9
"Jack Kiser",35.04,"LB","Notre Dame",130,90,40,8,6,2
"Gerad Christian-Lichtenhan",34.98,"OT","Oregon State",318,91,227,31,10,21
"Kenneth Grant",34.83,"DL","Michigan",17,92,-75,2,12,-10
"Carson Schwesinger",34.71,"LB","UCLA",54,93,-39,4,7,-3
"Clay Webb",34.68,"IOL","Jacksonville State",251,94,157,16,5,11
"Dillon Gabriel",34.23,"QB","Oregon",131,95,36,7,7,0
"Woody Marks",34.2,"RB","USC",239,96,143,26,11,15
"KeAndre Lambert-Smith",34.09,"WR","Auburn",205,97,108,26,16,10
"Dont'e Thornton Jr.",34.08,"WR","Tennessee",202,98,104,25,17,8
"Emeka Egbuka",33.99,"WR","Ohio State",19,99,-80,4,18,-14
"Jordan James",33.88,"RB","Oregon",200,100,100,21,12,9
"Tez Johnson",33.87,"WR","Oregon",104,101,3,14,19,-5
"Brashard Smith",33.82,"RB","SMU",139,102,37,14,13,1
"Dorian Strong",33.64,"CB","Virginia Tech",102,103,-1,10,7,3
"JJ Pegues",33.63,"DL","Ole Miss",122,104,18,17,13,4
"Jared Ivey",33.52,"ED","Ole Miss",59,105,-46,13,14,-1
"Odonnell Fortune",33.4,"CB","South Carolina",168,106,62,18,8,10
"Thor Griffith",33.24,"DL","Louisville",288,107,181,28,14,14
"Colston Loveland",33.21,"TE","Michigan",29,108,-79,2,5,-3
"Cody Simon",33.15,"LB","Ohio State",172,109,63,10,8,2
"Jackson Slater",32.95,"IOL","Sacremento State",217,110,107,13,6,7
"Smael Mondon Jr.",32.95,"LB","Gerogia",244,111,133,17,9,8
