"player","total","rank","pos","team","pos_rank_bef","pos_rank_aft","pos_rank_diff"
"Mason Graham",47.75,4,"DL","Michigan",1,1,0
"Walter Nolen",44.12,25,"DL","Ole Miss",5,2,3
"Darius Alexander",43.91,23,"DL","Toledo",4,3,1
"TJ Sanders",43.72,36,"DL","South Carolina",6,4,2
"Derrick Harmon",42.01,22,"DL","Oregon",3,5,-2
"CJ West",40.62,110,"DL","Indiana",14,6,8
"Aeneas Peebles",40.01,113,"DL","Virginia Tech",15,7,8
"Simeon Barrow Jr",39.47,156,"DL","Miami",19,8,11
"Ty Robinson",38,243,"DL","Nebraska",26,9,17
"Jared Harrison-Hunte",36.7,325,"DL","SMU",35,10,25
"Omarr Norman-Lott",36.04,62,"DL","Tennessee",10,11,-1
"Kenneth Grant",34.83,17,"DL","Michigan",2,12,-10
"JJ Pegues",33.63,122,"DL","Ole Miss",17,13,4
"Thor Griffith",33.24,288,"DL","Louisville",28,14,14
"Rylie Mills",32.8,138,"DL","Notre Dame",18,15,3
"Jamaree Caldwell",29.92,117,"DL","Oregon",16,16,0
"Cam Horsley",28.1,221,"DL","Boston College",24,17,7
"Deone Walker",27.99,103,"DL","Kentucky",13,18,-5
"Tonka Hemingway",25.98,184,"DL","South Carolina",20,19,1
"Cam'Ron Jackson",25.17,235,"DL","Flordia",25,20,5
"Joshua Farmer",23.53,77,"DL","Florida State",11,21,-10
"Tommy Akingbesote",23.53,330,"DL","Maryland",36,22,14
"Alfred Collins",23.29,49,"DL","Texas",9,23,-14
"Jordan Phillips",23.28,80,"DL","Maryland",12,24,-12
"Tyleik Williams",22.38,37,"DL","Ohio State",7,25,-18
"Junior Tafuna",21.14,199,"DL","Utah",22,26,-4
"Howard Cross",20.24,282,"DL","Notre Dame",27,27,0
"Tim Smith",19.37,192,"DL","Alabama",21,28,-7
"Eric Gregory",17.16,293,"DL","Arkansas",30,29,1
"Jay Toia",15.52,320,"DL","UCLA",34,30,4
"Nash Hutmacher",14.47,303,"DL","Nebraska",32,31,1
"Shemar Turner",13.59,46,"DL","Texas A&M",8,32,-24
"Joey Slackman",7.81,306,"DL","Florida",33,33,0
"Nazir Stackhouse",7.7,295,"DL","Georgia",31,34,-3
"Joe Evans",3.63,291,"DL","UTSA",29,35,-6
"Zeek Biggers",2.55,202,"DL","Georgia Tech",23,36,-13
