"player","total","rank","pos","team","pos_rank_bef","pos_rank_aft","pos_rank_diff"
"Willie Lampkin",48.68,130,"IOL","UNC",4,1,3
"Marcus Wehr",44.35,268,"IOL","Montana State",17,2,15
"Jared Wilson",37.5,83,"IOL","Georgia",2,3,-1
"Drew Kendall",35.4,289,"IOL","Boston College",18,4,14
"Clay Webb",34.68,251,"IOL","Jacksonville State",16,5,11
"Jackson Slater",32.95,217,"IOL","Sacremento State",13,6,7
"Luke Kandra",32.9,151,"IOL","Cincinnati",5,7,-2
"Dylan Fairchild",29.05,196,"IOL","Georgia",10,8,2
"Tate Ratledge",29,91,"IOL","Georgia",3,9,-6
"Tyler Cooper",28.36,172,"IOL","Minnesota",8,10,-2
"Luke Newman",26.75,311,"IOL","Michigan State",20,11,9
"Jake Majors",26.37,211,"IOL","Texas",11,12,-1
"Miles Frazier",24.07,216,"IOL","LSU",12,13,-1
"Cooper Mays",23.82,301,"IOL","Tennessee",19,14,5
"Jonah Monheim",23.63,184,"IOL","USC",9,15,-6
"Joshua Gray",23.48,248,"IOL","Oregon State",15,16,-1
"Connor Colby",22.78,170,"IOL","Iowa",7,17,-10
"Tyler Booker",22.77,48,"IOL","Alabama",1,18,-17
"Nash Jones",22.63,314,"IOL","Texas State",21,19,2
"Gus Hartwig",22.17,331,"IOL","Purdue",24,20,4
"Seth McLaughlin",20.97,167,"IOL","Ohio State",6,21,-15
"Timothy McKay",20.06,242,"IOL","NC State",14,22,-8
"Joe Huber",17.73,329,"IOL","Wisconsin",23,23,0
"Jack Conley",4.47,322,"IOL","Boston College",22,24,-2
