"player","total","rank","pos","team","pos_rank_bef","pos_rank_aft","pos_rank_diff"
"Chris Paul Jr.",44.13,75,"LB","Ole Miss",5,1,4
"Demetrius Knight Jr.",40.7,33,"LB","South Carolina",3,2,1
"Jihaad Campbell",40.27,10,"LB","Alabama",1,3,-2
"Jailin Walker",38.35,245,"LB","Indiana",18,4,14
"Jay Higgins",36.02,209,"LB","Iowa",13,5,8
"Jack Kiser",35.04,130,"LB","Notre Dame",8,6,2
"Carson Schwesinger",34.71,54,"LB","UCLA",4,7,-3
"Cody Simon",33.15,172,"LB","Ohio State",10,8,2
"Smael Mondon Jr.",32.95,244,"LB","Gerogia",17,9,8
"Teddye Buchanan",32.55,217,"LB","California",14,10,4
"Aaron Smith",31.9,264,"LB","SC State",22,11,11
"David Gbenda",31.83,285,"LB","Texas",25,12,13
"Karene Reid",25.96,238,"LB","Utah",16,13,3
"Gaethan Bernadel",24.46,255,"LB","Stanford",20,14,6
"Nickolas Martin",24.16,273,"LB","Oklahoma State",23,15,8
"Cody Lindenberg",23.15,175,"LB","Minnesota",11,16,-5
"Kobe King",22.14,161,"LB","Penn State",9,17,-8
"Jeffrey Bassa",21.43,104,"LB","Oregon",6,18,-12
"Greg Penn III",19.38,261,"LB","LSU",21,19,2
"Jalon Walker",19.35,30,"LB","Gerogia",2,20,-18
"Danny Stutsman",18.42,177,"LB","Oklahoma",12,21,-9
"Barrett Carter",17.33,125,"LB","Clemson",7,22,-15
"Kain Medrano",16.2,249,"LB","UCLA",19,23,-4
"Eugene Asante",13.48,293,"LB","Auburn",26,24,2
"Jamon Dumas-Johnson",12.09,222,"LB","Kentucky",15,25,-10
"Shemar James",6.38,277,"LB","Florida",24,26,-2
