"player","total","rank","pos","team","pos_rank_bef","pos_rank_aft","pos_rank_diff"
"Wyatt Milum",49.52,90,"OT","West Virginia",12,1,11
"Armand Membou",49.02,11,"OT","Missouri",2,2,0
"Grey Zabel",48.43,29,"OT","North Dakota State",5,3,2
"Kelvin Banks Jr",43.5,20,"OT","Texas",4,4,0
"Charles Grant",43.31,97,"OT","William & Mary",14,5,9
"Chase Lundt",42.37,138,"OT","UCONN",18,6,12
"Logan Brown",42.28,176,"OT","Kansas",20,7,13
"Hollin Pierce",41.06,231,"OT","Rutgers",25,8,17
"Trey Wedig",39.74,281,"OT","Indiana",27,9,18
"Gerad Christian-Lichtenhan",34.98,318,"OT","Oregon State",31,10,21
"Josh Conerly Jr",32.39,34,"OT","Oregon",6,11,-5
"Brandon Crenshaw-Dickson",31.96,127,"OT","Florida",17,12,5
"Bryce Cabeldue",31.29,315,"OT","Kansas",30,13,17
"Josh Simmons",29.25,18,"OT","Ohio State",3,14,-11
"Aireontae Ersery",27.73,60,"OT","Minnesota",7,15,-8
"Jack Nelson",27.64,195,"OT","Wisconsin",23,16,7
"Carson Vinson",26.98,284,"OT","Alabama A&M",28,17,11
"Will Campbell",26.41,6,"OT","LSU",1,18,-17
"Anthony Belton",25.31,98,"OT","NC State",15,19,-4
"John Williams",24.55,188,"OT","Cincinnati",22,20,2
"Ozzy Trapilo",23.41,74,"OT","Boston College",9,21,-12
"Marcus Mbow",21.3,76,"OT","Purdue",10,22,-12
"Esa Pole",20.4,196,"OT","Washington State",24,23,1
"Jalen Rivers",19.34,123,"OT","Miami",16,24,-8
"Ajani Cornelius",18.55,146,"OT","Oregon",19,25,-6
"Donovan Jackson",18.11,67,"OT","Ohio State",8,26,-18
"Dalton Cooper",18.06,309,"OT","Oklahoma State",29,27,2
"Cameron Williams",17.2,92,"OT","Texas",13,28,-15
"Jonah Savaiinaea",16.61,87,"OT","Arizona",11,29,-18
"Xavier Truss",8.69,254,"OT","Gerogia",26,30,-4
"Emery Jones Jr",8.39,186,"OT","LSU",21,31,-10
"Gareth Warren",2.87,324,"OT","Lindenwood",32,32,0
