"player","total","rank","pos","team","pos_rank_bef","pos_rank_aft","pos_rank_diff"
"Jaxson Dart",46.5,129,"QB","Ole Miss",6,1,5
"Kurtis Rourke",43.16,187,"QB","Indiana",11,2,9
"Cam Ward",40.97,21,"QB","Miami",1,3,-2
"Shedeur Sanders",40.32,46,"QB","Colorado",2,4,-2
"Will Howard",36.48,112,"QB","Ohio State",4,5,-1
"Tyler Shough",36.33,182,"QB","Louisville",10,6,4
"Dillon Gabriel",34.23,131,"QB","Oregon",7,7,0
"Kyle McCord",30.7,161,"QB","Syracuse",9,8,1
"Seth Henigan",29.63,261,"QB","Memphis",15,9,6
"Brady Cook",21.75,194,"QB","Missouri",12,10,2
"Max Brosmer",19.54,197,"QB","Minnesota",13,11,2
"Jalen Milroe",19.52,99,"QB","Alabama",3,12,-9
"Graham Mertz",17.9,230,"QB","Florida",14,13,1
"Riley Leonard",16.55,121,"QB","Notre Dame",5,14,-9
"Quinn Ewers",13.83,142,"QB","Texas",8,15,-7
"Will Rogers",10.94,319,"QB","Washington",16,16,0
"DJ Uiagalelei",7.58,328,"QB","Florida State",19,17,2
"KJ Jefferson",6.89,327,"QB","UCF",18,18,0
"Donovan Smith",0,323,"QB","Houston",17,19,-2
