"player","total","rank","pos","team","pos_rank_bef","pos_rank_aft","pos_rank_diff"
"Harold Fannin",46.29,100,"TE","Bowling Green",6,1,5
"Tyler Warren",43.07,8,"TE","Penn State",1,2,-1
"Oronde Gadsden",40.16,227,"TE","Syracuse",17,3,14
"Caden Prieskorn",35.05,191,"TE","Ole Miss",13,4,9
"Colston Loveland",33.21,29,"TE","Michigan",2,5,-3
"Jalin Conyers",31.04,197,"TE","Texas Tech",14,6,8
"Mason Taylor",29,71,"TE","LSU",4,7,-3
"Thomas Fidone",28.24,170,"TE","Nebraska",12,8,4
"Mitchell Evans",28.14,142,"TE","Notre Dame",8,9,-1
"Elijah Arroyo",27.18,58,"TE","Miami",3,10,-7
"Moliki Matavao",26.82,260,"TE","UCLA",18,11,7
"Gunnar Helm",26.5,114,"TE","Texas",7,12,-5
"Luke Lachey",23.43,220,"TE","Iowa",16,13,3
"Terrance Ferguson",22.49,75,"TE","Oregon",5,14,-9
"CJ Dippre",22.1,216,"TE","Alabama",15,15,0
"Benjamin Yurosek",18.97,146,"TE","Georgia",9,16,-7
"Rivaldo Fairweather",18.79,326,"TE","Auburn",21,17,4
"Brant Kuithe",17.98,275,"TE","Utah",19,18,1
"Jake Briningstool",15.91,153,"TE","Clemson",10,19,-9
"Jackson Hawes",12.56,163,"TE","Georgia Tech",11,20,-9
"Bryson Nesbit",10.56,305,"TE","UNC",20,21,-1
